bitcoin_Cash_OPEN,bitcoin_Cash_HIGH,bitcoin_Cash_LOW,bitcoin_Cash_CLOSE,bitcoin_Cash_Volume,bitcoin_Cash_MarketCap,bitcoin_cash_MAvg_Open,bitcoin_cash_MAvg_Close,bitcoin_Cash_Direction,bitcoin_OPEN,bitcoin_HIGH,bitcoin_LOW,bitcoin_CLOSE,bitcoin_Volume,bitcoin_MarketCap,bitcoin_MAvg_Open,bitcoin_MAvg_Close,bitcoin_Direction,bitconnect_OPEN,bitconnect_HIGH,bitconnect_LOW,bitconnect_CLOSE,bitconnect_Volume,bitconnect_MarketCap,bitconnect_MAvg_Open,bitconnect_MAvg_Close,bitconnect_Direction,Date,dash_OPEN,dash_HIGH,dash_LOW,dash_CLOSE,dash_Volume,dash_MarketCap,dash_MAvg_Open,dash_MAvg_Close,dash_Direction,ethereum_classic_OPEN,ethereum_classic_HIGH,ethereum_classic_LOW,ethereum_classic_CLOSE,ethereum_classic_Volume,ethereum_classic_MarketCap,ethereum_classic_MAvg_Open,ethereum_classic_MAvg_Close,ethereum_classic_Direction,ethereum_OPEN,ethereum_HIGH,ethereum_LOW,ethereum_CLOSE,ethereum_Volume,ethereum_MarketCap,ethereum_MAvg_Open,ethereum_MAvg_Close,ethereum_Direction,iota_OPEN,iota_HIGH,iota_LOW,iota_CLOSE,iota_Volume,iota_MarketCap,iota_MAvg_Open,iota_MAvg_Close,iota_Direction,litecoin_OPEN,litecoin_HIGH,litecoin_LOW,litecoin_CLOSE,litecoin_Volume,litecoin_MarketCap,litecoin_MAvg_Open,litecoin_MAvg_Close,litecoin_Direction,monero_OPEN,monero_HIGH,monero_LOW,monero_CLOSE,monero_Volume,monero_MarketCap,monero_MAvg_Open,monero_MAvg_Close,monero_Direction,nem_OPEN,nem_HIGH,nem_LOW,nem_CLOSE,nem_Volume,nem_MarketCap,nem_MAvg_Open,nem_MAvg_Close,nem_Direction,neo_OPEN,neo_HIGH,neo_LOW,neo_CLOSE,neo_Volume,neo_MarketCap,neo_MAvg_Open,neo_MAvg_Close,neo_Direction,numeraire_OPEN,numeraire_HIGH,numeraire_LOW,numeraire_CLOSE,numeraire_Volume,numeraire_MarketCap,numeraire_MAvg_Open,numeraire_MAvg_Close,numeraire_Direction,omisego_OPEN,omisego_HIGH,omisego_LOW,omisego_CLOSE,omisego_Volume,omisego_MarketCap,omisego_MAvg_Open,omisego_MAvg_Close,omisego_Direction,qtum_OPEN,qtum_HIGH,qtum_LOW,qtum_CLOSE,qtum_Volume,qtum_MarketCap,qtum_MAvg_Open,qtum_MAvg_Close,qtum_Direction,ripple_OPEN,ripple_HIGH,ripple_LOW,ripple_CLOSE,ripple_Volume,ripple_MarketCap,ripple_MAvg_Open,ripple_MAvg_Close,ripple_Direction,stratis_OPEN,stratis_HIGH,stratis_LOW,stratis_CLOSE,stratis_Volume,stratis_MarketCap,stratis_MAvg_Open,stratis_MAvg_Close,stratis_Direction,waves_OPEN,waves_HIGH,waves_LOW,waves_CLOSE,waves_Volume,waves_MarketCap,waves_MAvg_Open,waves_MAvg_Close,waves_Direction,Date
555.89,578.97,411.78,413.06,85013,0,0,0,Decreasing,2808.1,2832.18,2653.94,2730.4,1072840000,46231100000,2771.7,2736.1,Decreasing,67.36,67.85,58.75,60.14,2132900,410971000,68.3,64.9,Decreasing,"Jul 23, 2017",195.02,195.74,187.26,191.03,31110400,1451390000,189.9,190.7,Decreasing,16.52,16.62,15.37,15.78,76647400,1549590000,16.2,16.1,Decreasing,229.12,231.68,217.72,225.95,649615000,21418300000,224.3,224.6,Decreasing,0.273693,0.280241,0.258485,0.269072,3065860,760738000,0.3,0.3,Decreasing,46.63,46.64,42.94,44.06,219257000,2430320000,45.8,45.5,Decreasing,44.64,44.78,41.44,42.67,8634060,661581000,41.8,42.6,Decreasing,0.176729,0.183786,0.155718,0.166136,5915450,1590560000,0.2,0.2,Decreasing,8.64,8.93,7.76,8.57,29915100,431881000,7.8,8.2,Decreasing,36.59,37.54,32.41,32.89,515553,44748100,35.5,34.5,Decreasing,0.878973,1.59,0.850754,1.53,15198100,86413600,0.8,1.1,Increasing,7.55,7.62,6.14,6.64,23752700,385277000,7.7,7.3,Decreasing,0.193568,0.204121,0.188722,0.195058,195682000,7411980000,0.2,0.2,Increasing,6.8,6.96,5.94,6.17,12522100,669425000,6.2,6.4,Decreasing,3.9,3.97,3.5,3.65,2608730,390012000,3.5,3.6,Decreasing,23/07/17
412.58,578.89,409.21,440.7,190952,0,0,0,Increasing,2732.7,2777.26,2699.19,2754.86,866474000,44995600000,2736.5,2765.1,Increasing,61.33,68.22,58.44,67.02,3991940,374541000,65.3,64.8,Increasing,"Jul 24, 2017",191.11,216.62,187.29,204.02,90278800,1422690000,190.8,196.8,Increasing,15.84,16.02,15.56,15.88,38370000,1486560000,16.2,16.1,Increasing,226.28,227.54,222.45,224.71,431691000,21158500000,224.4,226.7,Decreasing,0.265136,0.273468,0.242731,0.266447,4502060,736952000,0.3,0.3,Increasing,44.16,44.81,43.29,44.41,158532000,2302370000,45.5,45,Increasing,42.66,45.76,41.86,45.58,12102100,632493000,42.5,44.3,Increasing,0.16599,0.169717,0.158776,0.169644,2995870,1493910000,0.2,0.2,Increasing,8.61,8.81,8.19,8.46,21283700,430471000,8.2,8.6,Decreasing,33.01,36.16,32.04,33.69,551830,40370800,34.6,34.4,Increasing,1.51,1.61,1.31,1.52,12526000,148581000,1,1.3,Increasing,6.67,7.3,6.46,7.26,12601300,339927000,7.3,7.1,Increasing,0.194979,0.195279,0.189835,0.192002,56632800,7466020000,0.2,0.2,Decreasing,6.16,6.35,5.65,5.77,10593700,607093000,6.4,6.2,Decreasing,3.65,3.71,3.39,3.52,1813130,364582000,3.6,3.7,Decreasing,24/07/17
441.35,541.66,338.09,406.9,524908,0,469.9,420.2,Decreasing,2757.5,2768.08,2480.96,2576.48,1460090000,45410100000,2766.1,2687.2,Decreasing,67.01,67.01,60.14,63.65,3566120,413094000,65.2,63.6,Decreasing,"Jul 25, 2017",204.04,212.4,189.03,195.52,84970400,1519340000,196.7,196.9,Decreasing,15.89,15.93,14.49,14.92,74645500,1491550000,16.1,15.5,Decreasing,224.37,225.32,195.84,206.71,1095760000,20985200000,226.6,219.1,Decreasing,0.266827,0.269072,0.237998,0.250453,2917500,741654000,0.3,0.3,Decreasing,44.48,44.79,41.07,42.24,206307000,2319870000,45.1,43.6,Decreasing,45.55,45.84,38.24,40.68,12706300,675620000,44.3,43,Decreasing,0.169655,0.178049,0.144687,0.158206,6075320,1526900000,0.2,0.2,Decreasing,8.48,8.48,6.88,7.35,19480400,423876000,8.6,8.1,Decreasing,33.69,33.89,25.92,27.29,460800,41210000,34.4,31.3,Decreasing,1.53,1.55,1.12,1.23,8132390,150667000,1.3,1.4,Decreasing,7.31,7.61,5.68,6.13,22782500,372639000,7.2,6.7,Decreasing,0.19228,0.192734,0.169797,0.178104,166807000,7370540000,0.2,0.2,Decreasing,5.76,5.92,4.31,4.82,20657700,567608000,6.2,5.6,Decreasing,3.52,3.56,2.76,2.91,2462600,351753000,3.7,3.4,Decreasing,25/07/17
407.08,486.16,321.79,365.82,1784640,0,420.3,404.5,Decreasing,2577.77,2610.76,2450.8,2529.45,937404000,42455000000,2689.3,2620.3,Decreasing,63.57,64.46,60.63,62.68,3436370,398636000,64,64.4,Decreasing,"Jul 26, 2017",195.49,200.88,189.33,194.37,38380000,1456070000,196.9,198,Decreasing,14.86,15.08,14.22,14.77,46058800,1395600000,15.5,15.2,Decreasing,207.09,210.77,194.78,203.95,717692000,19373400000,219.2,211.8,Decreasing,0.250571,0.283478,0.241237,0.274598,4626790,696469000,0.3,0.3,Increasing,42.29,42.7,40.63,42.23,121389000,2206000000,43.6,43,Decreasing,40.73,46.44,38.6,45.8,26033100,604269000,43,44,Increasing,0.157898,0.162653,0.147928,0.156463,2508770,1421080000,0.2,0.2,Decreasing,7.33,7.59,6.58,7.17,16765600,366562000,8.1,7.7,Decreasing,27.65,28.93,24.75,26.97,323792,33814100,31.5,29.3,Decreasing,1.23,1.29,1.1,1.21,4740910,121110000,1.4,1.3,Decreasing,6.14,6.49,5.28,6.26,20824500,362203000,6.7,6.5,Increasing,0.177582,0.180872,0.16906,0.173822,76584600,6807110000,0.2,0.2,Decreasing,4.83,5.37,4.57,5.06,12565800,475864000,5.6,5.2,Increasing,2.92,2.99,2.5,2.74,3013790,291623000,3.4,3.1,Decreasing,26/07/17
417.1,460.97,367.78,385.48,533207,0,421.8,386.1,Decreasing,2538.71,2693.32,2529.34,2671.78,789104000,41816500000,2624.7,2592.6,Increasing,63.01,66.09,62.21,65.09,3508340,395556000,64.5,63.8,Increasing,"Jul 27, 2017",195.08,199.43,192.47,194.09,26363200,1453370000,198.2,194.7,Decreasing,14.81,14.83,14.6,14.66,28722600,1390780000,15.2,14.8,Decreasing,204.86,206.44,201.26,204.32,393283000,19169800000,212.1,205,Decreasing,0.27685,0.285551,0.275467,0.275467,3343540,769512000,0.3,0.3,Decreasing,42.35,42.62,41.39,42.14,81714000,2210020000,43,42.2,Decreasing,45.92,46.74,43.93,45.24,15960700,681502000,44.1,43.9,Decreasing,0.156868,0.176017,0.156234,0.170475,5341670,1411810000,0.2,0.2,Increasing,7.22,7.94,7.13,7.72,15251100,360772000,7.7,7.4,Increasing,27.48,28.43,26.25,27.64,163616,33610800,29.6,27.3,Increasing,1.21,1.41,1.2,1.38,5379280,118718000,1.3,1.3,Increasing,6.29,6.42,6.02,6.21,10757800,370867000,6.6,6.2,Decreasing,0.17521,0.176602,0.17198,0.173457,34575100,6716190000,0.2,0.2,Decreasing,5.11,5.34,4.74,4.97,10071100,503595000,5.2,5,Decreasing,2.74,2.84,2.6,2.75,1889170,274372000,3.1,2.8,Increasing,27/07/17
386.65,465.18,217.06,406.05,1230160,0,403.6,385.8,Increasing,2679.73,2897.45,2679.73,2809.01,1380100000,44144400000,2598.7,2670.1,Increasing,65.28,69.94,64.79,69.28,4174750,410202000,64,65.7,Increasing,"Jul 28, 2017",194,196.91,181.57,185.61,30108800,1445720000,194.9,191.4,Decreasing,14.65,14.75,14.04,14.16,48972400,1376840000,14.8,14.5,Decreasing,204.32,204.9,192.3,193.12,562571000,19125100000,205.4,200.5,Decreasing,0.274876,0.278459,0.262736,0.265118,2884740,764026000,0.3,0.3,Decreasing,42.22,42.47,35.94,40.61,137556000,2203520000,42.3,41.7,Decreasing,45.29,45.79,42.74,43.96,18694500,672368000,44,45,Decreasing,0.171214,0.174978,0.159316,0.165774,5062930,1540930000,0.2,0.2,Decreasing,7.75,7.88,6.93,7.09,15725800,387410000,7.4,7.3,Decreasing,27.72,28.26,24.15,25.37,214957,33899000,27.6,26.7,Decreasing,1.38,1.39,1.12,1.19,5438700,135475000,1.3,1.3,Decreasing,6.23,6.31,5.74,5.75,7599310,367403000,6.2,6.1,Decreasing,0.173211,0.174078,0.162183,0.165937,74649800,6639700000,0.2,0.2,Decreasing,5,5.04,4.33,4.61,15690500,491910000,5,4.9,Decreasing,2.76,3.11,2.45,3,3030820,276459000,2.8,2.8,Increasing,28/07/17
410.56,423.73,323.73,384.77,737815,0,404.8,392.1,Decreasing,2807.02,2808.76,2692.8,2726.45,803746000,46246700000,2675.2,2735.7,Decreasing,69.08,69.23,64.04,64.96,2912860,434587000,65.8,66.4,Decreasing,"Jul 29, 2017",185.11,187.66,169.34,185.25,40505200,1379860000,191.4,188.3,Increasing,14.16,14.47,13.48,14.4,65494300,1330870000,14.5,14.4,Increasing,193.34,208.68,179.65,205.79,824355000,18101800000,200.8,201.1,Increasing,0.266567,0.277226,0.245848,0.27519,2788270,740931000,0.3,0.3,Increasing,40.56,41.34,38.74,41.12,109945000,2117650000,41.7,41.3,Increasing,43.69,44.37,42.19,43.89,7053810,648884000,45,44.4,Increasing,0.165367,0.170197,0.157418,0.170197,2496500,1488300000,0.2,0.2,Increasing,7.09,7.46,6.76,7.26,10518400,354258000,7.4,7.4,Increasing,25.28,26.29,24.13,25.87,120964,30920300,26.8,26.3,Increasing,1.19,1.29,1.11,1.28,2651230,116968000,1.3,1.3,Increasing,5.8,5.86,5.38,5.78,5188990,342217000,6.1,5.9,Decreasing,0.165218,0.171566,0.155475,0.169871,80897000,6333340000,0.2,0.2,Increasing,4.59,5.22,4.4,5.22,11185800,451636000,4.9,4.9,Increasing,2.98,3.06,2.69,2.87,2116910,297597000,2.8,2.9,Decreasing,29/07/17
385.14,385.14,316.25,345.66,606695,0,394.1,378.8,Decreasing,2724.39,2758.53,2644.85,2757.18,705943000,44890700000,2737,2764.2,Increasing,65.08,65.16,61.26,61.52,2147470,409831000,66.5,65.3,Decreasing,"Jul 30, 2017",185.45,187.95,172.47,172.82,25327200,1382710000,188.2,181.2,Decreasing,14.33,14.41,13.76,13.81,37797400,1347810000,14.4,14.1,Decreasing,206.74,208.54,196.15,197.98,596234000,19360900000,201.5,199,Decreasing,0.277339,0.279401,0.252831,0.254785,3165840,770872000,0.3,0.3,Decreasing,41.18,41.82,40.06,40.42,75746700,2150970000,41.3,40.7,Decreasing,43.95,43.95,39.55,39.62,11709500,652927000,44.3,42.5,Decreasing,0.170664,0.173171,0.160306,0.1605,2475570,1535980000,0.2,0.2,Decreasing,7.27,7.3,6.94,7.15,9006030,363345000,7.4,7.2,Decreasing,25.88,27.32,24.76,26.51,116912,31649900,26.3,25.9,Increasing,1.27,1.31,1.19,1.21,1749290,124645000,1.3,1.2,Decreasing,5.77,5.84,5.46,5.53,3168030,340554000,5.9,5.7,Decreasing,0.169494,0.170411,0.164094,0.165082,40621700,6497250000,0.2,0.2,Decreasing,5.2,5.2,4.75,4.85,8457590,511780000,4.9,4.9,Decreasing,2.87,2.93,2.72,2.72,1530680,286809000,2.9,2.9,Decreasing,30/07/17
346.36,347.82,266.19,294.46,1075960,0,380.7,341.6,Decreasing,2763.24,2889.62,2720.61,2875.34,860575000,45535800000,2764.9,2786.3,Increasing,61.29,66.64,57.91,66.14,1578510,386447000,65.1,64.2,Increasing,"Jul 31, 2017",173.15,180.05,171.76,178.51,29249300,1291390000,181.2,178.9,Increasing,13.78,14.14,13.55,14,44660400,1295940000,14.1,14.1,Increasing,197.41,203.87,193.41,203.87,569414000,18492000000,199.2,202.5,Increasing,0.255064,0.25981,0.245768,0.254732,2563820,708959000,0.3,0.3,Decreasing,40.34,44.03,38.95,43.02,240821000,2107540000,40.7,41.5,Increasing,39.67,40.68,38.94,39.84,13138500,589540000,42.4,41.1,Increasing,0.160815,0.167028,0.159838,0.165068,2892660,1447330000,0.2,0.2,Increasing,7.16,7.43,7.02,7.33,10856600,358222000,7.2,7.2,Increasing,26.01,26.47,24.69,25.28,166615,31810000,25.7,25.9,Decreasing,1.2,1.26,1.17,1.23,2153100,118309000,1.2,1.2,Increasing,5.53,6.36,5.43,6.12,13123400,326029000,5.7,5.8,Increasing,0.16505,0.169535,0.162002,0.167386,57273800,6326860000,0.2,0.2,Increasing,4.84,5.13,4.66,5,8754770,476325000,4.9,5,Increasing,2.74,2.87,2.62,2.78,2651760,273812000,2.9,2.8,Increasing,31/07/17
294.6,426.11,210.38,380.01,65988800,0,342,340,Increasing,2871.3,2921.35,2685.61,2718.26,1324670000,47321800000,2786.3,2783.6,Decreasing,65.98,66.14,41.09,52.44,261126,416441000,64.1,60,Decreasing,"Aug 01, 2017",179.2,186.23,177.26,184.75,34656300,1336810000,179.3,178.7,Increasing,14.02,14.7,13.85,14.57,86270500,1319170000,14,14.1,Increasing,204.69,227.74,204.69,226.77,1585330000,19179100000,202.9,209.5,Increasing,0.256665,0.296267,0.249623,0.29022,5169910,713408000,0.3,0.3,Increasing,43.02,43.77,41.09,43.04,203656000,2248110000,41.5,42.2,Increasing,39.88,45.04,39.81,44.15,17363300,592886000,41.2,41.2,Increasing,0.165605,0.181925,0.162108,0.181054,3956940,1490440000,0.2,0.2,Increasing,7.36,8.2,6.96,7.86,18527900,368123000,7.3,7.4,Increasing,25.65,30.04,24.18,26.17,305623,31374200,25.8,26,Increasing,1.22,1.37,1.18,1.33,4360060,120415000,1.2,1.3,Increasing,6.12,6.67,5.74,6.49,20864300,361165000,5.8,6,Increasing,0.168024,0.178332,0.166124,0.177053,119957000,6440860000,0.2,0.2,Increasing,5.02,5.98,4.94,5.92,12038300,494159000,5,5.3,Increasing,2.77,3.11,2.61,3.01,3257400,277390000,2.8,2.8,Increasing,01/08/17
